The Spring Series for 2009 is a best 3 out of 4 event series.,,,,,,,
,,,,,,,
PAX,,,,,,,
Rank,Class,Name,Jan,Feb,Mar,Apr,Total
1,STU,Ben Clement,998,970,,1000,2968
2,STU,Chris Groppi,965,950,985,993,2943
3,STU,Jonathan Eddy,963,933,1000,972,2935
4,STX,Mike Quigley,,964,992,930,2886
5,ST,David Rock,982,941,,961,2884
6,ES,Jamal Brewer,,938,929,921,2788
7,BSP,John Yamasaki,833,,836,737,2406
8,STU,Clint Child,1000,1000,,,2000
9,AS,Bill Fisher,,970,,975,1945
10,AS,Rob Rockefeller,983,,,961,1944
11,XP,Fred Zust,,977,,963,1940
12,STX,Jeff Israel,937,944,,,1881
13,F125/STU,Mark Eddy,931,931,,,1862
14,GS,Kris Tvedt,935,,926,,1861
15,SS,Brian Peters,991,,,,991
16,STX,Doug Rowse,,982,,,982
17,SS,Jay Balducci,977,,,,977
18,STX,Elliot Speidell,,967,,,967
19,CSP,Mark Johnson,,,,960,960
20,GS,Mindi Cross,958,,,,958
21,GS,David Webb,950,,,,950
22,CS,Brad Owen,,941,,,941
23,GS,Evan Tatge,,919,,,919
24,SM,Larry Petrucci,,913,,,913
25,FSAE,Tony Edward,,,778,,778
26,FJA,Rusty Edward,,,707,,707
27,F125,Scott Waters,,,612,,612
Open Classes,,,,,,,
Rank,Class,Name,Jan,Feb,Mar,Apr,Total
1,AS,Bruce Patterson,916,896,943,928,2787
2,AS,Chris Sparling,,918,944,914,2776
3,AS,Nathan Crum,,,957,912,1869
4,AS,Trevor Davis,880,868,,,1748
5,AS,Keith Lensch,,,934,,934
1,CS,Larry Burrow,,,,902,902
1,DS,Al Blankenship,,836,872,641,2349
2,DS,David Vasquez,,912,,,912
1,ES,Jamal Brewer,944,,,,944
1,FS,Fred Petersen,838,889,920,901,2710
2,FS,Steve Burger,,900,,,900
1,HS,Ian Peterson Schnell,,,,804,804
1,BSP,James Hayden,,,892,956,1848
1,DSP,Cliff Orbach,,888,,,888
1,BM,Alan Wagstaffe,920,918,,,1838
1,DM,Kris Tvedt,,809,,,809
1,FM,Dan Hawrylkiw,,972,,,972
1,ST,Arnaldo (Naz) Nazario,940,928,955,,2823
2,ST,Keith Lensch,930,931,,,1861
3,ST,Amro Habib,,876,884,,1760
4,ST,Kurt Brown,,,859,848,1707
5,ST,Andy Ross,963,,,,963
1,STU,Nathan Crum,922,910,,,1832
2,STU,Don Sattler,,,,907,907
3,STU,Greg Duncan,,,,890,890
1,STX,Dennis Lach,916,884,,824,2624
2,STX,Erich Eikenberry,952,,,,952
3,STX,Matt Evans,923,,,,923
1,SM,Ben Kunk,833,,,,833
2,SM,Frank Peebles,831,,,,831
1,SSM,Dave Skull,883,847,,,1730
2,SSM,Stuart Anderson,841,,,,841
3,SSM,Greg Mondeau,824,,,,824
Ladies Class,,,,,,,
Rank,Class,Name,Jan,Feb,Mar,Apr,Total
1,STU,Teresa Clement,950,,,968,1918
2,XP,Diane Deanovic,,849,,906,1755
3,CSP,Dawn Maxwell,,,,951,951
4,BM,Mary Ross,,882,,,882
5,ST,Gail Kopp,827,,,,827
6,CS,Mandy Bennett,,823,,,823
7,CS,Mitzi Burrow,,,,816,816
Novice Class,,,,,,,
Rank,Class,Name,Jan,Feb,Mar,Apr,Total
1,SS,John Carson,910,875,915,,2700
2,GS,Bruce Hazen,854,852,888,820,2594
3,SM,Jana Sutton,843,843,850,873,2566
4,SSM,Carl Tootle,737,812,,832,2381
5,DS,Christopher Ambrosio,,890,908,,1798
6,SM,Anders Zway,846,,895,,1741
7,STU/ESP,Will Chun,858,,,875,1733
8,BS,Garrick Sleight,814,,870,,1684
9,FS,Devin Clark,,838,,830,1668
10,BS/HS,Mark Teng,839,789,,,1628
11,SM,Michael Sunday,783,789,,,1572
12,SSM,Charlene Videen,659,706,,,1365
13,STS,Markos Mylonas,,,,900,900
14,STU,Eric Cox,,,,882,882
15,ST,Thayer Keller,,,,871,871
16,AS,Andrew Guibard,,,,866,866
17,ST,Charles Butzine,,,,854,854
18,STX,Richie Aranda,,852,,,852
19,SS,Brett Sovey,851,,,,851
20,SS,Chris Cox,848,,,,848
21,BS,S Garrick Sleight,,846,,,846
22,FS,Justin Floyd,,,,845,845
23,AS,Ray Guitard,,,,838,838
24,XP,Peter Drubin,834,,,,834
25,SS,Doug Kyer,,,834,,834
26,ASP,Danny Creedon,,,,828,828
27,STU,Chris Linrud,,,,827,827
28,CS,Kent Stevens,825,,,,825
29,FS,Mike Petersen,,822,,,822
30,STU,Travis Palmer,,,,799,799
31,CSP,David Gevert,,,,789,789
32,SM,Corbitt Farren,769,,,,769
33,HS,Leighton Grant,,,,769,769
34,STU,Kris Hollenback,,767,,,767
35,AS,Frank Avitia,,,766,,766
36,CSP,Peter Whitney,755,,,,755
37,BS,Mike Esser,,,,751,751
38,FS,Jeremy Soule,702,,,,702
39,CS,Ward Stevens,697,,,,697
40,AS,Raymo Blankenship,,564,,,564
Street Class,,,,,,,
Rank,Class,Name,Jan,Feb,Mar,Apr,Total
1,FS,Jim Bright,953,925,954,,2832
2,DS/CS,Thomas Martell,891,,913,902,2706
3,DS,Kevin O'Neill,910,922,,861,2693
4,FS,Tom Fellows,872,866,,863,2601
5,CS,Jim Williamson,835,,852,845,2532
6,HS,Zach Fellows,944,916,,,1860
7,CS,Matt Soeffner,,,,923,923
8,GS,James Tomassoni,,,,912,912
9,ES,Michael Woodard,908,,,,908
10,DS,Jeff Deerinwatere,,906,,,906
11,FSP,John Lawson,902,,,,902
12,CS,Kris Castner,,,,897,897
13,CS,Harry Berzes,,894,,,894
14,FS,Chase Torres,885,,,,885
15,DS,Dave Hymers,871,,,,871
16,SM,Harry Steiner,867,,,,867
17,AS,Michael Whitehouse,,,,867,867
18,STU,David Lahey,,,,866,866
19,ASP,Chris Cox,,859,,,859
20,SM,Jeff Israel,,,,842,842
21,GS,Behrooz Sarvestani,,,,795,795
22,FS,Dave Branson,,,,791,79
