The Summer Series for 2009 is a best 3 out of 4 event series.,,,,,,,
,,,,,,,
PAX Class,,,,,,
Rank,Class,Name,May,Jun,Jul,Aug,Total
1,STX,Mike Quigley,996,974,1000,989,2985
2,AS,Rob Rockefeller,991,976,976,1000,2967
3,STU/ST,Ben Clement,1000,1000,,960,2960
4,ST,David Rock,979,965,959,928,2903
5,GS,Kris Tvedt,922,966,957,947,2870
6,ST,Keith Lensch,929,931,967,945,2843
7,ES,Jamal Brewer,891,943,941,928,2812
8,AS,Bill Fisher,932,907,,969,2808
9,XP,Fred Zust,998,974,,,1972
10,STX/STU,Jeff Israel,982,,959,,1941
11,STU,Jonathan Eddy,959,976,,,1935
12,SSM,Kevin Gleaton,,974,943,,1917
13,FS,Jim Bright,,,986,912,1898
14,F125,Mark Eddy,,919,966,,1885
15,ST,Clint Child,,,,979,979
16,STU,Chris Groppi,,,974,,974
17,STU,Brian Peters,,955,,,955
18,SSM,Tage Evanson,,,952,,952
19,ST,Britt Dollmeyer,,,,943,943
20,ST,Tim Bergstrom,,,,924,924
21,ST,Kurt Brown,,844,,,844
Open Classes,,,,,,,
Rank,Class,Name,May,Jun,Jul,Aug,Total
1,SS,John Carson,913,900,888,872,2701
1,AS,Nathan Crum,922,924,,864,2710
2,AS,Chris Sparling,,,940,917,1857
3,AS,Bruce Patterson,926,,,927,1853
4,AS,Trevor Davis,889,,,,889
1,BS,Seth Stephenson,,,,747,747
1,CS,Ralph Prince,,,832,804,1636
1,DS,Al Blankenship,888,,,,888
2,DS,David Gunter,,,,852,852
3,DS,Genaro Serrano,,,,800,800
1,FS,Fred Petersen,925,,925,885,2735
2,FS,Steve Burger,,904,,,904
1,GS,Shannon Schofield,,,877,924,1801
1,BSP,James Hayden,,960,959,960,2879
2,BSP,John Yamasaki,779,,,,779
1,CSP,Gene Sanders,927,,,,927
1,FSP,John Lawson,,,,894,894
1,ST,Arnaldo (Naz) Nazario,913,933,,904,2750
2,ST,Thayer Keller,836,880,877,876,2633
3,ST,Ian Peterson-Schnell,825,816,,,1641
4,ST,Amro Habib,,,,866,866
1,STS,Dave Branson,,,877,843,1720
2,STS,Tom Reed,,,916,,916
1,STU,Andrew Ybanez,,,883,,883
1,STX,Dennis Lach,908,888,896,,2692
1,SM2,Carl Tootle,,,,822,822
1,SM,Brian Tindall,,,,727,727
1,SSM,Dave Skull,901,903,,,1804
2,SSM,John Lawson,891,,,,891
Ladies Class,,,,,,,
Rank,Class,Name,May,Jun,Jul,Aug,Total
1,XP,Diane Deanovic,906,910,,,1816
2,AS,Kim Sparling,,,891,,891
Novice Class,,,,,,,
Rank,Class,Name,May,Jun,Jul,Aug,Total
1,FS,Devin Clack,,874,916,896,2686
2,ESP,Will Chun,883,,893,861,2637
3,ST,John Michael,870,856,902,,2628
4,ES,Omar Gutierrez,,822,825,836,2483
5,SSM,Carl Tootle,836,,851,,1687
6,STU,David Lacasse,,,843,805,1648
7,HS/ASP,Mark Teng,788,,815,,1603
8,FS,PJ Lopez,,,907,,907
9,FS,Marco Marazzi,877,,,,877
10,GS,Colin Branch,,,877,,877
11,ASP,Chris Lesadd,,,862,,862
12,CS,Jeremy Kaufman,,,,859,859
13,FS,Jerimiah Taylor,,,848,,848
14,AS,Andy Phan,,847,,,847
15,FS,Kaleb Bright,,,847,,847
16,AS,Brett Sovey,,,842,,842
17,HS,Miguel Arandules,,,,837,837
18,ES,Matthew Thomas,814,,,,814
19,ES,Peter Yu,814,,,,814
20,SM,Phil Sanford,,812,,,812
21,FS,Robert Cramb,,812,,,812
22,AS,Jim Cantrell,,801,,,801
23,GS,Dillon Schofield,,,798,,798
24,ASP,Harry De Leon,,,798,,798
25,DS,Joseph Davis,,,784,,784
26,AS,Frank Avitia,779,,,,779
27,ASP,Harry DeLeon,,771,,,771
28,GS,Roman Chernobelskiy,763,,,,763
29,GS,Charles Carroll,753,,,,753
30,SM,Brian Tindall,,,749,,749
31,FS,Janis Gallego,685,,,,685
32,GS,Cynthia Finckes,,,,575,575
Street Class,,,,,,,
Rank,Class,Name,May,Jun,Jul,Aug,Total
1,CS,Thomas Martell,,920,925,891,2736
2,CS,Harry Berzes,900,898,,858,2656
3,SSM,Stuart Anderson,842,,881,859,2582
4,SM/HS,Brock Palmer,830,,875,845,2550
5,FS,Tom Fellows,,886,904,,1790
6,SM,Greg Rubenstein,,,937,,937
7,GS,Scott Meyers,,931,,,931
8,HS,Zach Fellows,,903,,,903
9,SM,Jana Sutton,,,,887,887
10,ES,Peter Yu,,,869,,869
11,CSP,Andy Ross,864,,,,864
12,SM,Harry Steiner,,,,847,847
13,SS,Tim Burgess,,832,,,832
14,SM,Daniel Reed,812,,,,812
15,DS,Joseph Davis,776,,,,776
16,SM,Brian Tindall,713,,,,713
